序号,法律名,法律文号,url
1,Family Law Act 1975,"No. 53, 1975",https://www.legislation.gov.au/Details/C2022C00260
2,Family Law Regulations 1984,"Statutory Rules No. 426, 1984",https://www.legislation.gov.au/Details/F2023C00108
3,Federal Circuit and Family Court of Australia Act 2021,"No. 12, 2021",https://www.legislation.gov.au/Details/C2022C00263
4,Federal Circuit and Family Court of Australia (Family Law) Rules?2021,,https://www.legislation.gov.au/Details/F2023C00074
5,Judges and Governors?General Legislation Amendment (Family Law) Act 2012,"No.?143, 2012",https://www.legislation.gov.au/Details/C2018C00341
6,Federal Circuit and Family Court of Australia (Division?2) (Family Law) Rules?2021,,https://www.legislation.gov.au/Details/F2023C00071
7,Family Law Reform Act 1995,No. 167 of 1995,https://www.legislation.gov.au/Details/C2004A05014
8,Federal Circuit and Family Court of Australia (Division 2) (General Federal Law) Rules 2021,,https://www.legislation.gov.au/Details/F2023C00085
9,Federal Circuit and Family Court of Australia (Division 2) (Bankruptcy) Rules 2021,,https://www.legislation.gov.au/Details/F2021L01200
10,Family Law (Fees) Regulations 2022,,https://www.legislation.gov.au/Details/F2023L00022
11,Family Law (Child Abduction Convention) Regulations 1986,"Statutory Rules No. 85, 1986",https://www.legislation.gov.au/Details/F2022C01227
12,Family Law (Child Protection Convention) Regulations 2003,"Statutory Rules No. 66, 2003",https://www.legislation.gov.au/Details/F2021C01076
13,Family Law (Superannuation) Regulations 2001,"Statutory Rules No. 303, 2001",https://www.legislation.gov.au/Details/F2022C00956
14,Family Law (Family Dispute Resolution Practitioners) Regulations 2008,"Select Legislative Instrument No. 183, 2008",https://www.legislation.gov.au/Details/F2021C01095
15,Family Law (Bilateral Arrangements—Intercountry Adoption) Regulations 1998,"Statutory Rules No. 248, 1998 as amended",https://www.legislation.gov.au/Details/F2014C00873
16,Family Law (Hague Convention on Intercountry Adoption) Regulations 1998,"Statutory Rules No. 249, 1998",https://www.legislation.gov.au/Details/F2021C01008
17,Family Law (State and Territory Courts) Rules 2021,,https://www.legislation.gov.au/Details/F2021L01211
18,Federal Court and Federal Circuit and Family Court Regulations 2022,,https://www.legislation.gov.au/Details/F2023L00023
19,Family Court of Western Australia (Orders of Registrars) Act 1997,"No. 148, 1997",https://www.legislation.gov.au/Details/C2021C00513
